time,Real (W),Reactive (VAR),Power Factor
2022-08-23 00:00:00,0,0,0
2022-08-23 00:02:24,0,0,0
2022-08-23 00:07:25,0,0,0
2022-08-23 00:12:26,0,0,0
2022-08-23 00:17:23,0,0,0
2022-08-23 00:22:24,0,0,0
2022-08-23 00:27:25,0,0,0
2022-08-23 00:32:26,0,0,0
2022-08-23 00:37:23,0,0,0
2022-08-23 00:42:24,0,0,0
2022-08-23 00:47:25,0,0,0
2022-08-23 00:52:26,0,0,0
2022-08-23 00:57:23,0,0,0
2022-08-23 01:02:24,0,0,0
2022-08-23 01:07:25,0,0,0
2022-08-23 01:12:26,0,0,0
2022-08-23 01:17:23,0,0,0
2022-08-23 01:22:24,0,0,0
2022-08-23 01:27:25,0,0,0
2022-08-23 01:32:26,87.4025,-3.01704,0.999405
2022-08-23 01:37:23,150.484,-6.31055,0.999122
2022-08-23 01:42:24,71.551,30.3374,0.920663
2022-08-23 01:47:25,305.315,123.188,0.92736
2022-08-23 01:52:26,381.53,132.822,0.944408
2022-08-23 01:57:27,414.674,137.818,0.948962
2022-08-23 02:02:24,419.546,138.022,0.949917
2022-08-23 02:07:25,422.306,137.959,0.950564
2022-08-23 02:12:26,426.335,138.242,0.951241
2022-08-23 02:17:23,430.245,138.958,0.951599
2022-08-23 02:22:24,432.703,139.102,0.952017
2022-08-23 02:27:25,435.426,139.492,0.952325
2022-08-23 02:32:26,185.182,69.7135,0.935879
2022-08-23 02:37:23,2.37901,-4.49843,0.467501
2022-08-23 02:42:24,0,-6.62505,0
2022-08-23 02:47:25,0,-6.62647,0
2022-08-23 02:52:26,0,-6.61698,0
2022-08-23 02:57:23,0,-6.60676,0
2022-08-23 03:02:24,0,-6.60998,0
2022-08-23 03:07:25,0,-6.61308,0
2022-08-23 03:12:26,0,-6.62,0
2022-08-23 03:17:23,0,-6.62882,0
2022-08-23 03:22:24,0,-6.61872,0
2022-08-23 03:27:26,0,-6.59287,0
2022-08-23 03:32:27,0,-6.62194,0
2022-08-23 03:37:24,0,-6.6462,0
2022-08-23 03:42:25,0,-6.62918,0
2022-08-23 03:47:26,0,-6.60424,0
2022-08-23 03:52:27,0,-6.61558,0
2022-08-23 03:57:24,0,-6.63978,0
2022-08-23 04:02:25,0,-6.65705,0
2022-08-23 04:07:26,0,-6.66962,0
2022-08-23 04:12:27,0,-6.70354,0
2022-08-23 04:17:24,0,-6.74449,0
2022-08-23 04:22:25,0,-6.73295,0
2022-08-23 04:27:26,0,-6.73034,0
2022-08-23 04:32:27,0,-6.71461,0
2022-08-23 04:37:24,0,-6.77614,0
2022-08-23 04:42:25,0,-6.73755,0
2022-08-23 04:47:26,0,-6.7143,0
2022-08-23 04:52:27,0,-6.67982,0
2022-08-23 04:57:24,0,-6.69146,0
2022-08-23 05:02:25,0,-6.70535,0
2022-08-23 05:07:26,0,-6.71972,0
2022-08-23 05:12:27,0,-6.72488,0
2022-08-23 05:17:24,0,-6.728,0
2022-08-23 05:22:25,0,-6.73889,0
2022-08-23 05:27:26,0,-6.74925,0
2022-08-23 05:32:27,0,-6.75846,0
2022-08-23 05:37:24,0,-6.65528,0
2022-08-23 05:42:25,0,-6.63197,0
2022-08-23 05:47:26,0,-6.62211,0
2022-08-23 05:52:27,0,-6.68341,0
2022-08-23 05:57:24,0,-6.66511,0
2022-08-23 06:02:25,0,-6.62004,0
2022-08-23 06:07:26,0,-6.63045,0
2022-08-23 06:12:28,0,-6.59606,0
2022-08-23 06:17:24,0,-6.65462,0
2022-08-23 06:22:25,0,-6.6023,0
2022-08-23 06:27:26,0,-6.63011,0
2022-08-23 06:32:27,0,-6.6443,0
2022-08-23 06:37:24,0,-6.59488,0
2022-08-23 06:42:24,0,-6.67711,0
2022-08-23 06:47:25,0,-6.6326,0
2022-08-23 06:52:27,0,-6.59308,0
2022-08-23 06:57:24,0,-6.66903,0
2022-08-23 07:02:25,0,-6.65891,0
2022-08-23 07:07:26,0,-6.64758,0
2022-08-23 07:12:27,0,-6.66974,0
2022-08-23 07:17:24,0,-6.70088,0
2022-08-23 07:22:25,0,-6.66621,0
2022-08-23 07:27:26,0,-6.66723,0
2022-08-23 07:32:27,0,-6.68787,0
2022-08-23 07:37:24,0,-6.65778,0
2022-08-23 07:42:25,0,-6.69906,0
2022-08-23 07:47:26,0,-6.62048,0
2022-08-23 07:52:27,0,-6.61009,0
2022-08-23 07:57:24,0,-6.62096,0
2022-08-23 08:02:25,0,-6.62007,0
