time,Voltage (A-N),Voltage (A-N) Min,Voltage (A-N) Max,Voltage (B-N),Voltage (B-N) Min,Voltage (B-N) Max,Voltage (A-B),Voltage (A-B) Min,Voltage (A-B) Max,Pole A,Pole A Max,Pole B,Pole B Min,Pole B Max
2022-08-23 00:00:00,120.813,120.697,120.936,120.771,120.655,120.892,241.796,241.582,241.967,0.006,0.014,0.008,0.004,0.012
2022-08-23 00:02:24,120.756,120.541,120.903,120.715,120.5,120.86,241.675,241.331,241.848,0.009,0.011,0.007,0.004,0.012
2022-08-23 00:07:25,120.672,120.378,120.854,120.631,120.336,120.813,241.479,241.03,241.892,0.009,0.015,0.008,0.005,0.013
2022-08-23 00:12:26,120.517,120.357,120.652,120.475,120.316,120.612,241.161,240.971,241.36,0.009,0.013,0.008,0.004,0.012
2022-08-23 00:17:23,120.509,120.316,120.639,120.467,120.274,120.598,241.159,240.909,241.324,0.006,0.014,0.008,0.004,0.014
2022-08-23 00:22:24,120.477,120.33,120.63,120.435,120.288,120.589,241.122,240.856,241.397,0.006,0.012,0.008,0.004,0.014
2022-08-23 00:27:25,120.399,120.161,120.563,120.356,120.118,120.52,240.965,240.559,241.203,0.007,0.011,0.008,0.004,0.013
2022-08-23 00:32:26,120.34,120.196,120.456,120.299,120.154,120.414,240.837,240.648,240.974,0.008,0.014,0.006,0.004,0.015
2022-08-23 00:37:23,120.235,119.946,120.421,120.194,119.904,120.38,240.634,240.056,240.918,0.009,0.014,0.009,0.004,0.012
2022-08-23 00:42:24,120.165,119.858,120.338,120.125,119.818,120.294,240.458,239.895,240.679,0.007,0.014,0.01,0.005,0.013
2022-08-23 00:47:25,120.009,119.637,120.192,119.968,119.595,120.149,240.157,239.548,240.396,0.008,0.014,0.007,0.004,0.012
2022-08-23 00:52:26,120.086,119.809,120.311,120.044,119.767,120.268,240.316,239.854,240.749,0.007,0.014,0.008,0.004,0.011
2022-08-23 00:57:23,120.25,120.027,120.459,120.208,119.985,120.419,240.652,240.206,240.915,0.006,0.012,0.008,0.004,0.011
2022-08-23 01:02:24,120.197,119.981,120.354,120.156,119.939,120.314,240.584,240.259,240.802,0.008,0.013,0.007,0.003,0.013
2022-08-23 01:07:25,120.058,119.821,120.231,120.016,119.78,120.19,240.254,239.723,240.609,0.007,0.012,0.007,0.004,0.013
2022-08-23 01:12:26,119.971,119.572,120.163,119.929,119.53,120.122,240.06,239.504,240.487,0.007,0.014,0.006,0.004,0.014
2022-08-23 01:17:23,119.972,119.8,120.1,119.929,119.756,120.058,240.083,239.733,240.289,0.007,0.013,0.007,0.004,0.013
2022-08-23 01:22:24,119.969,119.834,120.089,119.927,119.791,120.047,240.045,239.715,240.233,0.008,0.013,0.008,0.004,0.011
2022-08-23 01:27:25,119.888,119.7,120.054,119.845,119.659,120.011,239.939,239.603,240.166,0.008,0.013,0.006,0.004,0.014
2022-08-23 01:32:26,119.848,119.316,120.004,119.806,119.283,119.961,239.814,238.879,240.039,0.492,15.84,0.493,0.004,15.84
2022-08-23 01:37:23,119.817,119.315,119.977,119.776,119.284,119.936,239.778,238.839,240.017,0.638,18.53,0.638,0.032,18.528
2022-08-23 01:42:24,119.762,119.391,119.953,119.718,119.348,119.913,239.664,239.089,239.931,0.38,3.223,0.381,0.032,3.223
2022-08-23 01:47:25,119.665,119.401,119.83,119.621,119.358,119.786,239.444,238.768,239.654,1.374,1.569,1.374,1.276,1.569
2022-08-23 01:52:26,120.395,119.617,120.619,120.35,119.573,120.574,240.914,239.196,241.247,1.667,1.787,1.667,1.571,1.787
2022-08-23 01:57:27,120.714,120.476,120.907,120.67,120.432,120.861,241.599,241.15,241.827,1.801,1.839,1.8,1.787,1.839
2022-08-23 02:02:24,120.686,120.512,120.811,120.642,120.469,120.767,241.558,241.205,241.787,1.831,1.846,1.831,1.83,1.846
2022-08-23 02:07:25,120.667,120.32,120.901,120.623,120.276,120.856,241.492,240.858,241.924,1.844,1.861,1.844,1.841,1.861
2022-08-23 02:12:26,120.627,120.341,120.768,120.582,120.296,120.724,241.38,240.919,241.613,1.858,1.877,1.858,1.858,1.877
2022-08-23 02:17:23,120.674,120.516,120.785,120.629,120.471,120.739,241.502,241.141,241.758,1.877,1.894,1.877,1.875,1.894
