time,Voltage (A-N),Voltage (A-N) Min,Voltage (A-N) Max,Voltage (B-N),Voltage (B-N) Min,Voltage (B-N) Max,Voltage (A-B),Voltage (A-B) Min,Voltage (A-B) Max,Pole A,Pole A Max,Pole B,Pole B Min,Pole B Max
2022-08-26 00:00:00,120.103,120.01,120.185,119.935,119.842,120.023,240.207,240.181,240.247,0.009,0.016,0.008,0.004,0.012
2022-08-26 00:04:48,74.464,0.038,120.969,74.354,0,120.805,148.948,0.122,241.979,0.073,3.064,0.075,0.005,3.09
2022-08-26 00:09:49,120.755,120.293,120.954,120.584,120.129,120.782,241.521,240.602,241.859,0.016,0.02,0.016,0.015,0.023
2022-08-26 00:14:50,120.636,120.38,120.917,120.463,120.204,120.743,241.299,240.854,241.662,0.014,0.018,0.016,0.015,0.019
2022-08-26 00:19:47,120.516,120.324,120.653,120.341,120.15,120.477,241.043,240.781,241.242,0.015,0.018,0.016,0.014,0.019
2022-08-26 00:24:49,120.469,120.266,120.681,120.293,120.091,120.506,240.97,240.599,241.353,0.015,0.019,0.015,0.015,0.02
2022-08-26 00:29:50,120.399,120.211,120.536,120.225,120.037,120.36,240.824,240.464,241.138,0.015,0.018,0.015,0.014,0.02
2022-08-26 00:34:51,120.359,120.191,120.506,120.185,120.017,120.331,240.755,240.454,241.042,0.015,0.02,0.017,0.014,0.019
2022-08-26 00:39:48,120.204,119.805,120.375,120.03,119.632,120.201,240.398,239.475,240.659,0.017,0.02,0.017,0.014,0.019
2022-08-26 00:44:49,120.015,119.704,120.213,119.841,119.531,120.04,240.031,239.389,240.483,0.016,0.022,0.017,0.014,0.021
2022-08-26 00:49:50,120.098,119.84,120.333,119.924,119.665,120.158,240.206,239.756,240.531,0.016,0.02,0.016,0.014,0.02
2022-08-26 00:54:51,120.052,119.799,120.215,119.878,119.625,120.04,240.114,239.664,240.352,0.017,0.019,0.016,0.014,0.019
2022-08-26 00:59:48,120.112,119.891,120.333,119.938,119.719,120.16,240.199,239.891,240.582,0.016,0.019,0.016,0.014,0.019
2022-08-26 01:04:49,120.178,119.957,120.301,120.005,119.784,120.127,240.384,240.045,240.604,0.015,0.021,0.017,0.014,0.021
2022-08-26 01:09:50,120.027,119.827,120.211,119.855,119.656,120.039,240.063,239.749,240.318,0.015,0.02,0.017,0.014,0.019
2022-08-26 01:14:51,119.974,119.745,120.133,119.803,119.573,119.961,239.967,239.669,240.167,0.015,0.018,0.016,0.014,0.02
2022-08-26 01:19:48,119.939,119.657,120.12,119.768,119.486,119.949,239.904,239.367,240.177,0.017,0.02,0.015,0.014,0.019
2022-08-26 01:24:49,119.907,119.689,120.094,119.735,119.518,119.921,239.795,239.397,240.057,0.015,0.019,0.017,0.014,0.02
2022-08-26 01:29:50,119.855,119.669,119.997,119.683,119.497,119.826,239.718,239.348,239.981,0.016,0.019,0.018,0.014,0.02
2022-08-26 01:34:51,119.907,119.712,120.052,119.735,119.54,119.878,239.841,239.544,239.981,0.016,0.019,0.017,0.014,0.019
2022-08-26 01:39:48,119.837,119.644,119.981,119.665,119.473,119.807,239.683,239.224,239.879,0.015,0.019,0.015,0.014,0.018
2022-08-26 01:44:49,119.762,119.589,119.983,119.59,119.418,119.81,239.564,239.25,239.86,0.016,0.018,0.015,0.014,0.02
2022-08-26 01:49:50,119.779,119.628,119.929,119.607,119.456,119.757,239.531,239.345,239.713,0.015,0.019,0.017,0.014,0.019
2022-08-26 01:54:51,120.069,119.373,120.627,119.897,119.203,120.454,240.153,238.891,241.3,0.017,0.019,0.018,0.014,0.019
