time,Real (W),Reactive (VAR),Power Factor
2022-08-24 00:00:00,0,0,0
2022-08-24 00:02:27,0,0,0
2022-08-24 00:07:24,0,0,0
2022-08-24 00:12:25,0,0,0
2022-08-24 00:17:26,0,0,0
2022-08-24 00:22:27,0,0,0
2022-08-24 00:27:24,0,0,0
2022-08-24 00:32:25,0,0,0
2022-08-24 00:37:26,0,0,0
2022-08-24 00:42:27,0,0,0
2022-08-24 00:47:24,0,0,0
2022-08-24 00:52:25,0,0,0
2022-08-24 00:57:26,0,0,0
2022-08-24 01:02:27,0,0,0
2022-08-24 01:07:24,0,0,0
2022-08-24 01:12:25,0,0,0
2022-08-24 01:17:26,0,0,0
2022-08-24 01:22:27,0,0,0
2022-08-24 01:27:24,0,0,0
2022-08-24 01:32:25,0,0,0
2022-08-24 01:37:26,0,0,0
2022-08-24 01:42:27,0,0,0
2022-08-24 01:47:24,0,0,0
2022-08-24 01:52:25,0,0,0
2022-08-24 01:57:26,0,0,0
2022-08-24 02:02:27,0,0,0
2022-08-24 02:07:24,0,0,0
2022-08-24 02:12:25,0,0,0
2022-08-24 02:17:26,0,0,0
2022-08-24 02:22:27,0,0,0
2022-08-24 02:27:24,0,0,0
2022-08-24 02:32:25,0,0,0
2022-08-24 02:37:26,0,0,0
2022-08-24 02:42:25,0,0,0
2022-08-24 02:47:22,0,0,0
2022-08-24 02:52:24,0,0,0
2022-08-24 02:57:25,0,0,0
2022-08-24 03:02:26,0,0,0
2022-08-24 03:07:23,0,0,0
2022-08-24 03:12:24,0,0,0
2022-08-24 03:17:25,0,0,0
2022-08-24 03:22:26,0,0,0
2022-08-24 03:27:23,0,0,0
2022-08-24 03:32:24,0,0,0
2022-08-24 03:37:25,0,0,0
2022-08-24 03:42:26,0,0,0
2022-08-24 03:47:23,0,0,0
2022-08-24 03:52:24,0,0,0
2022-08-24 03:57:25,0,0,0
2022-08-24 04:02:26,0,0,0
2022-08-24 04:07:23,0,0,0
2022-08-24 04:12:24,0,0,0
2022-08-24 04:17:25,0,0,0
2022-08-24 04:22:26,0,0,0
2022-08-24 04:27:27,0,0,0
2022-08-24 04:32:24,0,0,0
2022-08-24 04:37:25,0,0,0
2022-08-24 04:42:26,0,0,0
2022-08-24 04:47:27,0,0,0
2022-08-24 04:52:24,0,0,0
2022-08-24 04:57:25,0,0,0
2022-08-24 05:02:26,0,0,0
2022-08-24 05:07:27,0,0,0
2022-08-24 05:12:24,0,0,0
2022-08-24 05:17:25,0,0,0
2022-08-24 05:22:26,0,0,0
2022-08-24 05:27:27,0,0,0
2022-08-24 05:32:24,0,0,0
2022-08-24 05:37:25,0,0,0
2022-08-24 05:42:26,0,0,0
2022-08-24 05:47:27,0,0,0
2022-08-24 05:52:24,0,0,0
2022-08-24 05:57:25,0,0,0
2022-08-24 06:02:25,0,0,0
2022-08-24 06:07:26,0,0,0
2022-08-24 06:12:27,0,0,0
2022-08-24 06:17:24,0,0,0
2022-08-24 06:22:25,0,0,0
2022-08-24 06:27:26,0,0,0
2022-08-24 06:32:27,0,0,0
2022-08-24 06:37:24,0,0,0
2022-08-24 06:42:25,0,0,0
2022-08-24 06:47:26,0,0,0
2022-08-24 06:52:27,0,0,0
2022-08-24 06:57:24,0,0,0
2022-08-24 07:02:25,0,0,0
2022-08-24 07:07:26,0,0,0
2022-08-24 07:12:27,0,0,0
2022-08-24 07:17:24,0,0,0
2022-08-24 07:22:25,0,0,0
2022-08-24 07:27:26,0,0,0
2022-08-24 07:32:27,0,0,0
2022-08-24 07:37:24,0,0,0
2022-08-24 07:42:25,0,0,0
2022-08-24 07:47:26,0,0,0
2022-08-24 07:52:27,0,0,0
2022-08-24 07:57:24,0,0,0
2022-08-24 08:02:25,0,0,0
2022-08-24 08:07:26,0,0,0
2022-08-24 08:12:27,0,0,0
2022-08-24 08:17:24,0,0,0
2022-08-24 08:22:25,0,0,0
2022-08-24 08:27:26,0,0,0
2022-08-24 08:32:27,0,0,0
2022-08-24 08:37:24,0,0,0
2022-08-24 08:42:25,0,0,0
2022-08-24 08:47:26,0,0,0
2022-08-24 08:52:27,0,0,0
2022-08-24 08:57:24,0,0,0
2022-08-24 09:02:25,0,0,0
2022-08-24 09:07:26,0,0,0
2022-08-24 09:12:27,0,0,0
2022-08-24 09:17:24,0,0,0
2022-08-24 09:22:25,0,0,0
2022-08-24 09:27:26,0,0,0
2022-08-24 09:32:25,0,0,0
2022-08-24 09:37:27,0,0,0
2022-08-24 09:42:24,0,0,0
2022-08-24 09:47:25,0,0,0
2022-08-24 09:52:26,0,0,0
2022-08-24 09:57:27,0,0,0
2022-08-24 10:02:24,0,0,0
2022-08-24 10:07:25,0,0,0
2022-08-24 10:12:26,0,0,0
2022-08-24 10:17:27,0,0,0
2022-08-24 10:22:24,0,0,0
2022-08-24 10:27:25,0,0,0
2022-08-24 10:32:26,0,0,0
2022-08-24 10:37:27,0,0,0
2022-08-24 10:42:24,0,0,0
2022-08-24 10:47:25,0,0,0
2022-08-24 10:52:26,0,0,0
2022-08-24 10:57:27,0,0,0
2022-08-24 11:02:24,0,0,0
2022-08-24 11:07:25,0,0,0
2022-08-24 11:12:26,0,0,0
2022-08-24 11:17:27,0,0,0
2022-08-24 11:22:24,0,0,0
2022-08-24 11:27:25,0,0,0
2022-08-24 11:32:26,0,0,0
2022-08-24 11:37:27,0,0,0
2022-08-24 11:42:24,0,0,0
2022-08-24 11:47:25,0,0,0
2022-08-24 11:52:26,0,0,0
2022-08-24 11:57:27,0,0,0
2022-08-24 12:02:24,0,0,0
2022-08-24 12:07:25,0,0,0
2022-08-24 12:12:26,0,0,0
2022-08-24 12:17:27,0,0,0
2022-08-24 12:22:24,0,0,0
2022-08-24 12:27:25,0,0,0
2022-08-24 12:32:26,0,0,0
2022-08-24 12:37:27,0,0,0
2022-08-24 12:42:24,0,0,0
2022-08-24 12:47:25,0,0,0
2022-08-24 12:52:26,0,0,0
2022-08-24 12:57:27,0,0,0
2022-08-24 13:02:28,0,0,0
2022-08-24 13:07:25,0,0,0
2022-08-24 13:12:26,0,0,0
2022-08-24 13:17:27,0,0,0
2022-08-24 13:22:28,0,0,0
2022-08-24 13:27:25,0,0,0
2022-08-24 13:32:26,0,0,0
2022-08-24 13:37:25,0,0,0
2022-08-24 13:42:27,0,0,0
2022-08-24 13:47:24,0,0,0
2022-08-24 13:52:25,0,0,0
2022-08-24 13:57:26,0,0,0
2022-08-24 14:02:27,0,0,0
2022-08-24 14:07:24,1501.24,3.5976,0.999997
2022-08-24 14:12:25,4364.95,10.6771,0.999997
2022-08-24 14:17:26,4373.7,10.7858,0.999997
2022-08-24 14:22:27,2498.03,6.20583,0.999997
2022-08-24 14:27:24,0,0,0
2022-08-24 14:32:25,0,0,0
2022-08-24 14:37:26,0,0,0
2022-08-24 14:42:27,0,0,0
2022-08-24 14:47:24,0,0,0
2022-08-24 14:52:25,0,0,0
2022-08-24 14:57:26,0,0,0
2022-08-24 15:02:27,0,0,0
2022-08-24 15:07:24,0,0,0
2022-08-24 15:12:25,0,0,0
2022-08-24 15:17:26,0,0,0
2022-08-24 15:22:27,0,0,0
2022-08-24 15:27:24,0,0,0
2022-08-24 15:32:25,0,0,0
2022-08-24 15:37:26,0,0,0
2022-08-24 15:42:27,0,0,0
2022-08-24 15:47:24,0,0,0
2022-08-24 15:52:25,0,0,0
2022-08-24 15:57:26,0,0,0
2022-08-24 16:02:27,0,0,0
2022-08-24 16:07:24,0,0,0
2022-08-24 16:12:25,0,0,0
2022-08-24 16:17:26,0,0,0
2022-08-24 16:22:27,0,0,0
2022-08-24 16:27:24,0,0,0
2022-08-24 16:32:25,0,0,0
2022-08-24 16:37:26,0,0,0
2022-08-24 16:42:27,0,0,0
2022-08-24 16:47:24,0,0,0
2022-08-24 16:52:25,0,0,0
2022-08-24 16:57:26,0,0,0
2022-08-24 17:02:27,0,0,0
2022-08-24 17:07:24,0,0,0
2022-08-24 17:12:25,0,0,0
2022-08-24 17:17:26,0,0,0
2022-08-24 17:22:27,0,0,0
2022-08-24 17:27:24,0,0,0
2022-08-24 17:32:25,0,0,0
2022-08-24 17:37:26,0,0,0
2022-08-24 17:42:27,0,0,0
2022-08-24 17:47:24,0,0,0
2022-08-24 17:52:25,0,0,0
2022-08-24 17:57:26,0,0,0
2022-08-24 18:02:27,0,0,0
2022-08-24 18:07:24,0,0,0
2022-08-24 18:12:25,0,0,0
2022-08-24 18:17:26,0,0,0
2022-08-24 18:22:27,0,0,0
2022-08-24 18:27:24,0,0,0
2022-08-24 18:32:25,0,0,0
2022-08-24 18:37:26,0,0,0
2022-08-24 18:42:27,0,0,0
2022-08-24 18:47:24,0,0,0
2022-08-24 18:52:25,0,0,0
2022-08-24 18:57:25,0,0,0
2022-08-24 19:02:27,0,0,0
2022-08-24 19:07:24,0,0,0
2022-08-24 19:12:25,0,0,0
2022-08-24 19:17:26,0,0,0
2022-08-24 19:22:27,0,0,0
2022-08-24 19:27:28,0,0,0
2022-08-24 19:32:25,0,0,0
2022-08-24 19:37:26,0,0,0
2022-08-24 19:42:27,0,0,0
2022-08-24 19:47:28,0,0,0
2022-08-24 19:52:25,0,0,0
2022-08-24 19:57:26,0,0,0
2022-08-24 20:02:27,0,0,0
2022-08-24 20:07:28,0,0,0
2022-08-24 20:12:25,0,0,0
2022-08-24 20:17:26,0,0,0
2022-08-24 20:22:27,0,0,0
2022-08-24 20:27:28,0,0,0
2022-08-24 20:32:25,0,0,0
2022-08-24 20:37:26,0,0,0
2022-08-24 20:42:27,0,0,0
2022-08-24 20:47:28,0,0,0
2022-08-24 20:52:24,0,0,0
2022-08-24 20:57:25,0,0,0
2022-08-24 21:02:27,0,0,0
2022-08-24 21:07:28,0,0,0
2022-08-24 21:12:24,0,0,0
2022-08-24 21:17:25,0,0,0
2022-08-24 21:22:26,0,0,0
2022-08-24 21:27:27,0,0,0
2022-08-24 21:38:58,0.00747178,0.125247,0.0595503
2022-08-24 21:43:59,0,0,0
2022-08-24 21:49:00,0,0,0
2022-08-24 21:53:58,0,0,0
2022-08-24 21:58:59,0,0,0
2022-08-24 22:04:00,0,0,0
2022-08-24 22:09:01,0,0,0
2022-08-24 22:13:58,0,0,0
2022-08-24 22:18:59,0,0,0
2022-08-24 22:24:00,0,0,0
2022-08-24 22:29:01,0,0,0
