time,Voltage (A-N),Voltage (A-N) Min,Voltage (A-N) Max,Voltage (B-N),Voltage (B-N) Min,Voltage (B-N) Max,Voltage (A-B),Voltage (A-B) Min,Voltage (A-B) Max,Pole A,Pole A Max,Pole B,Pole B Min,Pole B Max
2022-08-25 00:00:00,118.675,116.515,120.184,118.51,116.349,120.013,237.331,233.195,240.255,0.01,0.018,0.006,0.003,0.013
2022-08-25 00:04:00,115.058,113.012,120.184,114.898,112.846,120.02,230.187,226.372,240.205,0.01,0.015,0.007,0.004,0.013
2022-08-25 00:09:02,120.097,120.01,120.188,119.929,119.842,120.02,240.213,240.172,240.258,0.01,0.016,0.006,0.004,0.013
2022-08-25 00:13:58,119.964,119.016,120.185,119.797,118.848,120.02,239.926,238.161,240.248,0.01,0.016,0.007,0.003,0.012
2022-08-25 00:18:59,116.893,114.674,119.037,116.73,114.512,118.869,233.772,229.263,238.217,0.009,0.014,0.007,0.005,0.015
2022-08-25 00:24:00,113.427,113.01,114.656,113.27,112.849,114.495,227.023,226.357,229.302,0.009,0.015,0.01,0.004,0.014
2022-08-25 00:29:01,117.1,113.01,120.185,116.938,112.855,120.024,234.301,226.357,240.324,0.009,0.016,0.007,0.004,0.012
2022-08-25 00:33:58,119.418,117.522,120.187,119.253,117.354,120.018,238.836,235.182,240.248,0.01,0.013,0.008,0.004,0.012
2022-08-25 00:38:59,115.59,113.535,117.68,115.429,113.376,117.522,231.204,227.315,235.174,0.01,0.014,0.007,0.004,0.014
2022-08-25 00:44:00,113.94,113.011,120.186,113.782,112.85,120.017,228.078,226.353,240.245,0.01,0.014,0.009,0.004,0.014
2022-08-25 00:49:01,120.099,120.014,120.19,119.932,119.843,120.024,240.214,240.182,240.246,0.011,0.016,0.009,0.005,0.012
2022-08-25 00:53:58,117.953,116.01,120.136,117.791,115.849,119.97,235.88,232.203,240.228,0.009,0.014,0.006,0.004,0.015
2022-08-25 00:58:59,115.553,113.013,120.184,115.395,112.862,120.014,231.208,226.364,240.253,0.01,0.015,0.008,0.005,0.014
2022-08-25 01:04:00,119.784,118.08,120.188,119.617,117.919,120.023,239.555,236.151,240.239,0.01,0.016,0.007,0.004,0.013
2022-08-25 01:09:01,114.253,110.572,118.038,114.093,110.414,117.878,228.641,221.643,236.182,0.009,0.014,0.009,0.004,0.012
2022-08-25 01:13:58,115.024,109.008,120.185,114.866,108.863,120.021,230.231,218.469,240.246,0.01,0.014,0.008,0.004,0.014
2022-08-25 01:18:59,117.119,113.589,120.18,116.954,113.434,120.017,234.252,227.325,240.227,0.01,0.013,0.006,0.003,0.012
2022-08-25 01:24:00,110.406,109.013,113.66,110.253,108.863,113.5,221.135,218.469,227.424,0.01,0.014,0.007,0.004,0.012
2022-08-25 01:29:01,117.147,109.009,120.185,116.986,108.863,120.023,234.401,218.473,240.241,0.009,0.015,0.008,0.004,0.013
2022-08-25 01:34:02,116.674,113.041,120.07,116.512,112.884,119.906,233.362,226.382,240.231,0.009,0.014,0.006,0.004,0.013
2022-08-25 01:38:59,114.596,109.01,120.186,114.438,108.864,120.021,229.41,218.474,240.242,0.01,0.014,0.007,0.004,0.012
2022-08-25 01:44:00,118.853,115.673,120.186,118.69,115.509,120.025,237.694,231.204,240.242,0.01,0.014,0.008,0.004,0.012
2022-08-25 01:56:03,111.071,0.095,120.312,110.915,0.081,120.143,222.758,0.122,240.556,0.175,10.253,0.177,0.006,10.263
2022-08-25 02:01:03,120.067,119.818,120.211,119.897,119.654,120.041,240.128,239.503,240.48,0.015,0.018,0.017,0.014,0.02
2022-08-25 02:06:04,119.916,119.691,120.106,119.743,119.518,119.934,239.846,239.341,240.201,0.015,0.02,0.016,0.014,0.02
2022-08-25 02:11:02,119.815,119.566,120.029,119.641,119.393,119.855,239.644,239.248,240.169,0.015,0.019,0.016,0.014,0.02
2022-08-25 02:16:03,119.84,119.592,120.121,119.667,119.419,119.948,239.705,239.157,240.246,0.016,0.018,0.017,0.015,0.018
